Note,Length,Starting_Frame
D2,8,422
D2,8,482
D2,8,491
D2,9,525
D2,21,547
D2,17,621
D2,8,664
D2,3,686
D2,8,690
D2,8,699
D2,8,759
D2,8,768
D2,9,801
D2,21,823
D2,16,897
D2,8,940
D2,4,961
D2,17,966
D2,8,1035
D2,8,1044
D2,9,1078
D2,21,1100
D2,17,1173
D2,8,1217
D2,4,1238
D2,17,1243
D2,8,1312
D2,8,1321
D2,8,1355
D2,12,1377
D2,17,1390
D2,8,1520
D2,12,1533
D2,25,1614
D2,26,1683
D2,9,1726
D2,13,1739
D2,8,1796
D2,12,1809
D2,25,1891
D2,26,1960
D2,9,2003
D2,12,2017
D2,9,2073
D2,13,2085
D2,25,2238
D2,8,2281
D2,13,2294
D2,9,2324
D2,21,2346
D2,17,2419
D2,8,2462
D2,3,2484
D2,8,2488
D2,8,2497
D2,8,2557
D2,8,2566
D2,9,2600
D2,21,2622
D2,16,2696
D2,8,2739
D2,4,2760
D2,17,2765
D2,8,2834
D2,8,2843
D2,9,2877
D2,21,2899
D2,17,2972
D2,8,3016
D2,4,3037
D2,17,3042
D2,8,3111
D2,8,3120
D2,8,3154
D2,12,3176
D2,8,3189
D2,17,3248
D2,8,3292
D2,4,3313
D2,25,3318
D2,8,3456
D2,13,3469
D2,17,3551
D2,8,3569
D2,16,3621
D2,8,3638
D2,8,3664
D2,12,3677
D2,8,3733
D2,13,3746
D2,26,3828
D2,17,3897
D2,8,3915
D2,8,3941
D2,12,3954
D2,8,4009
D2,13,4022
D2,17,4173
D2,8,4191
D2,8,4217
D2,12,4230
D2,8,4286
D2,12,4299
D2,17,4450
D2,8,4468
D2,8,4494
D2,12,4507
D2,8,4563
D2,12,4576
D2,26,4727
D2,9,4770
D2,13,4783
D2,8,4839
D2,12,4852
D2,26,5003
D2,9,5046
D2,13,5059
D2,8,5116
D2,12,5129
D2,69,5280
D2,8,5393
D2,12,5406
D2,25,5488
D2,26,5557
D2,8,5600
D2,13,5612
D2,9,5668
D2,13,5681
D2,25,5764
D2,25,5833
D2,8,5876
D2,13,5889
D2,9,5945
D2,13,5958
D2,26,6110
D2,8,6154
D2,13,6167
D2,9,6223
D2,13,6236
D2,24,6388
D2,8,6430
D2,13,6443
D2,9,6499
D2,13,6512
D2,25,6664
D2,8,6707
D2,13,6720
D2,8,6776
D2,13,6789
D2,25,6941
D2,8,6984
D2,12,6997
D2,8,7053
D2,13,7066
D2,69,7216
D2♭,16,301
D2♭,16,439
D2♭,16,578
D2♭,16,716
D2♭,16,854
D2♭,16,992
D2♭,16,1131
D2♭,16,1269
D2♭,68,1408
D2♭,16,1546
D2♭,7,1658
D2♭,11,1671
D2♭,16,1822
D2♭,7,1935
D2♭,11,1948
D2♭,16,2100
D2♭,8,2143
D2♭,12,2156
D2♭,16,2169
D2♭,7,2187
D2♭,16,2377
D2♭,16,2514
D2♭,16,2653
D2♭,16,2791
D2♭,16,2930
D2♭,16,3068
D2♭,16,3206
D2♭,68,3344
D2♭,15,3483
D2♭,7,3595
D2♭,12,3608
D2♭,15,3760
D2♭,7,3872
